"","text","subject_label","subject_predicted","structure_label","structure_predicted"
"1147","What time points did you compare?",3,3,4,4
"1148","You need primary literature in the discussion AND the intro. This fails a basic criterion. I am giving you a “Needs Major Improvements” and a warning, rather than failing this report because the rest of it is well-written.",1,1,3,3
"1149","What did they find about Lanthanum chloride? A bit more detail would be nice.",4,4,4,3
"1150","What does this mean? Did you find other factors decreasing the growth of the caterpillars? You cannot make a conclusion like that one.",4,4,4,4
"1151","There are other steps in between of Na+ influx and muscle contraction.",3,3,4,2
"1152","A better way to put it would be to clearly indicate the authors of past study and cite at the end of the sentence.",2,2,2,3
"1153","You mentioned this in results.",2,3,2,2
"1154","You need some sort of citation for at least some of this. It can’t all be considered common knowledge. You can cite the lab manual and/or lecture, if you didn’t find this info in any of your other sources.",1,1,3,3
"1155","Multiple grammar mistakes and typos",2,2,3,3
"1156","Discuss some of these other possible variables. Maybe color just doesn’t matter for mate choice in bettas? Find some more references",4,4,5,5
"1157","use past tense throughout",2,2,3,3
"1158","Didn’t you use fish of different colors?",3,3,4,4
"1159","This is what goes at the end of your methods.",2,2,4,2
"1160","Alpha level?",3,3,2,2
"1161","These are not the results from the experimentReference the figuresReport mean and standard deviationsStatistical AnalysisDescribe the trends",3,3,4,2
"1162","Include a sentence with background on Manduca and what ecdysone normally does in the caterpillar",2,2,4,4
"1163","“A previous experiment..” would be better",2,2,2,2
"1164","Put this a bit earlier in the abstract, like the second sentence",3,2,4,4
"1165","Is this relevant for your experiment? You can focus only in the background information that is important to understand your experiment.",2,2,3,4
"1166","This is raw data and should not be included.  Some of this info is used in the discussion and that is the only info you should include.",3,3,4,3
"1167","This is a little long. You can just say “Precor causes stunted growth in Manduca sexta caterpillars”",2,2,2,4
"1168","What about CO2?",3,3,4,2
"1169","At what temp?",3,3,2,2
"1170","No citations in the intro should cause this report to fail. I am giving you a warning and a “Needs Major Improvements” instead so that you can improve your grade with the revision.",1,1,3,3
"1171","Better choice of words would be “do not significantly change” or something similar.",2,2,4,2
"1172","What do your error bars represent?",3,3,2,2
"1173","Not a primary source, or incorrect format",3,3,2,3
"1174","This is more of an intro than an abstract point",2,2,4,4
"1175","Use the average for plotting your graph",3,3,4,2
"1176","elaborate a little more on this concept to indicate implications of your experimental design at a broader context",4,4,3,3
"1177","Also, I’d get rid of the horizontal error bars—seems cluttered, and I’m not sure that it contributes anything useful to the figure.",3,3,4,4
"1178","What do the error bars show? Was there a significant difference? Where is the y-axis label?",3,3,4,4
"1179","This section needs some reorganization: summarize each section in",2,2,3,3
"1180","What is the main point of this observation?",3,2,4,4
"1181","You need to explain plant allocation and R:S. This hypothesis would not make sense to an unfamiliar reader.",4,4,4,4
"1182","Avoid talking about the null hypothesis – you can just state the latter part of this sentence by itself",2,2,4,4
"1183","for both of your experiments, consider how efficient you were in isolating the chloroplasts..",3,4,4,4
"1184","Don’t say this. Just the title by its self is fine.",2,2,2,2
"1185","The only notable issue was in the discussion, which introduced differences between potted and natural plants, but never specifically explained the effect. In the future, make sure you explain every explanation thoroughly and specifically!",4,4,4,5
"1186","What is this made of?",3,3,7,2
"1187","Based on this role, I would include your hypothesis in here as well. (Abstract elements)",2,2,4,4
"1188","Did this happen with the tetras? Try to connect your statements here with what you saw in your experiment, otherwise it seems like you’re just repeating what others have found (which is fine for the intro, but not for the discussion).",4,4,5,5
"1189","The exploration was a different experiment. This is an experiment you designed for a specific objective",3,3,4,4
"1190","Rather, didn’t support your hypothesis.",4,2,2,4
"1191","There needs to be at least 5 primary resources. Look up what primary resources are and be sure to include it into your report.",1,3,3,3
"1192","Not a primary resource",3,3,2,3
"1193","Same problem with x-axis",3,3,4,2
"1194","These two sentences could be combined so that it reads with better flow. Also briefly why increasing salinity is a concern",2,2,3,3
"1195","Proper format to report statistical analysis",3,3,2,2
"1196","Need to have axis labels and units, no title, and more information in the figure description",3,3,4,4
"1197","What was the concentration of the caffeine solution?",3,3,2,2
"1198","Say more. What types of environments are light deficient? Make the connection between your specific experiment and this idea.",4,4,3,5
"1199","Say your hypothesis was rejected",3,2,2,2
"1200","Need to have a p value for each dependent variable",3,3,2,4
"1201","This figure does not need a title, as what the title states should go in your figure caption. Your axes also need labels, particularly your y-axis",3,3,4,4
"1202","This means the data is not significant",3,3,2,2
"1203","You never explain your results at all. Use some literature and talk about the biology going on. You never even state whether or not there was a significant difference.",4,4,3,3
"1204","Force transducer",3,3,2,2
"1205","This is a great abstract. I would suggest, however, to place some version of your prediction/hypothesis near the beginning so readers understand that you were testing this prediction and not just doing this to see what happened, with no expectations.",2,2,4,5
"1206","Two sample t-test",3,3,2,2
"1207","Results!!",3,3,7,2
"1208","Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.",2,2,3,3
"1209","Report results of t-test as shown in the resource guide. Ex: “We found a significant difference between x and y (t=, df= , p=).",3,3,3,4
"1210","This sounds like a list you’re giving to someone, the methods should be full sentences on what you did",3,2,3,3
"1211","Revise this statement to make it clearer.",2,2,3,3
"1212","How so? You need to be specific about how plant allocation increases fitness. (Introduction)",4,4,4,4
"1213","Was this based on an axis so you could measure growth towards calcium or was it just general growth you were measuring?",3,4,4,4
"1214","Data analysis is part of methods.",3,3,3,4
"1215","Why is what you studied relevant? Why was it important that you understand this mechanistically?",4,2,3,3
"1216","Why isn’t this a citation in your intro?",3,3,4,2
"1217","You don’t need both of them",3,3,3,2
"1218","I wouldn’t include this as it is still raw data (Basic criteria).",1,3,2,3
"1219","Add another sentence about why this is important.",2,2,4,2
"1220","You did not use the chemical to effectively control those phases. Why did you really use AchE inhibitor?",4,3,4,2
"1221","You don’t need to state this, it’s a pretty commonly accepted value",3,3,2,2
"1222","This should be incorporated in the legend of the corresponding figure.",3,3,4,2
"1223","Make sure to include the Manduca housing (incubator at 27C)",3,2,2,2
"1224","This should actually go to discussion",2,2,4,4
"1225","Hypothesis are not proved right or wrong. The data support or not the hypothesis.",2,4,3,3
"1226","fourth",2,3,2,2
"1227","You need a y-axis and it is very hard to see those error bars",3,3,4,4
"1228","This should be in paragraph for in your results.",2,3,4,2
"1229","Need to fix error bar locations as well as calculate standard deviations for each of the 16 bars and include them as “custom” error bars.  Same for the next figure",3,3,4,4
"1230","Increase or reduce? Be specific!",3,3,2,2
"1231","This abstract has a bit too much methods, and also talks about metamorphosis, which is not something you looked at in your experiment. Give background on the organism, state your hypothesis, give one sentence about methods, one for results, and then one for discussion/conclusion",2,2,3,4
"1232","Yes, but if this report is about Physarum, this could be a little misleading, making the reader think Physarum is multicellular—just something to think about.",3,4,4,4
"1233","format: t-stat=_, d.f=_, p=_ at the end of the statement in parenthesis",3,3,2,2
"1234","Try to limit redundancy in this section and trim it to focus on observations that you think were really important.",2,2,2,3
"1235","I wouldn’t include this image is it doesn’t add to your report. (It doesn’t let us understand or know more about your preparation).",3,3,2,4
"1236","Broader implications?",4,2,3,3
"1237","removev",2,3,2,2
"1238","Report the means and sds",3,3,2,2
"1239","This needs to be the first sentence of the discussion and you need to report your p-value to back up this claim",4,3,4,4
"1240","how (expand explanation of methods)",3,2,4,4
"1241","You don’t need this.",2,3,2,2
"1242","Try to connect this better.",2,2,3,3
"1243","Did this study measure resource allocation? What were their results, specifically?",4,4,4,4
"1244","Equations should be on their own line, but you also don’t need to write out the math for adding roots and shoots.",3,3,2,4
"1245","I believe this is just the instars. The whole life cycle is up to 49 days",3,3,4,4
"1246","for what purpose? To quantify photosynthesis activity",3,3,2,2
"1247","Really nice discussion, now try to talk about what this study or further studies could do for science in a broader context, what information could it provide us with?",4,4,3,3
"1248","[Anderson: 1988]",3,3,2,2
"1249","What is the big picture? Why is understanding this important?",4,4,3,3
"1250","This can be condensed",2,2,3,2
"1251","Thresholds?",3,3,2,2
"1252","You need to start more broadly. What is aggression? What are its costs and benefits? Why use betta fish? Be very specific.",2,4,4,5
"1253","Author and year go together.",3,3,2,2
"1254","Is this really necessary? Check the guidelines in the BioCore Guide for the Methods.",3,3,3,3
"1255","Focus the discussion in possible interpretations of the results. Do not just repeat the results.",4,2,3,3
"1256","Missing error bars.",3,3,4,2
"1257","Describe the tables or figures that summarize your results and statistical analyses",3,3,3,4
"1258","This should have been the opening sentence for this section.",2,2,4,2
"1259","Not true, the ions move through that channels because of the gradient, but the gradient is maintained by the Na-K pump",3,3,4,4
"1260","Mention if it was statistically significant tor not",3,3,2,2
"1261","sciatic",3,3,2,2
"1262","Colloquial language",2,2,3,3
"1263","What did you compare? Can you mention the direct observation and then the statistical analysis supporting that result? That would be the correct format.",3,3,4,4
"1264","Ok, expand on these a little. What would this mean in the muscle when you inject lanthanum chloride?",4,4,4,4
"1265","Supports, not proves",2,2,2,2
"1266","These error bars seem less correct than the initial ones? You need to find the standard deviation of each group via your raw data, and then set the standard deviation to be the error bar value for each group. Let me know if you need help with this when doing figures for your presentation",3,3,4,4
"1267","You can still include trends you see, but be sure to make it clear that this is only a trend that you’re seeing and not something you can be confident in stating given the data you have. Having an insignificant p-value means that your treatment groups are not different from one another – that the difference you are seeing is from chance, not because there was an effect from your treatment.",4,4,3,4
"1268","I know I saw this in your intro, but make sure you mention that your absorbance was set to 600 nm here in the methods.",3,3,4,4
"1269","Qualify this by stating a higher twitch threshold = more stimulus required for the muscle to move",3,3,4,4
"1270","Be clear that this is half the “higher” CO2 concentration.",3,3,4,2
"1271","You need at the very least a couple of primary literature sources here.",3,3,3,3
"1272","Consider replacing “correct data”. Revise statement.",3,2,2,3
"1273","Missing outside sources (Basic Criteria)",1,1,3,3
"1274","These are methods. You also do not have a hypothesis. Both of these are major errors and result in a failing grade",1,1,3,3
"1275","Roughly 50µL",3,3,2,2
"1276","You can go ahead and explicitly say that this supports your hypothesis.",3,2,2,2
"1277","What flavor? (SD, SEM…?)",3,3,2,2
"1278","What about weighing them/feeding them every day for a week? Also, which test did you run?",3,3,4,4
"1279","Should have indicated that you used %change formula to convert your raw data (absorbance data)",3,3,2,2
"1280","I know I said to be more specific, but this is too detailed. A nice title would be something along the lines of “Excess soil nutrients decrease root-shoot ratio of mung beans (Vigna radiata)”",2,4,2,5
"1281","Abstract did not include highlights about future implications of current experiment at a broader context.",2,2,4,4
"1282","Talk about the underlying biology of your experiment, not the name of the field",4,2,3,3
"1283","Revise this statement to make more formal",2,2,4,3
"1284","Stimulation slectrodes",3,3,2,2
"1285","Results, the hypothesis was supported",3,2,2,2
"1286","Plasticity and allocation are synonymous",3,2,2,4
"1287","What kind? Let me know what you’re thinking in lab, and I’ll help!",3,3,4,4
"1288","Not necessary in the Abstract",2,2,4,2
"1289","You need to include a citation in your intro (that isn’t the lab manual.",1,3,3,3
"1290","Don’t need this.",2,3,2,2
"1291","unnecessary",2,2,2,2
"1292","Although we do want to show significant differences usually, it’s an unspoken rule that you don’t just state “We are going after significance” as that shouldn’t be the goal of science.",3,1,3,5
"1293","Use consistent citation format. Preferred is (Author last name, Year)",3,3,3,2
"1294","Add your p-value in here somewhere",3,3,2,2
"1295","This info could actually go in supplement",2,3,6,2
"1296","This decrease I think? The beginning of the sentence says decrease",2,2,4,2
"1297","This is all correct and well written, but you’re focusing to heavily on the study system. What are the important biological concepts at play here? You should spend your time explaining them, not the use of buckwheat",4,4,3,5
"1298","In what pathway?",3,3,4,2
"1299","How did you find the threshold? Did you find it at 0 V or did you increase the voltage of stimulation? You actually mentioned this later, you could just incorporate this information here.",3,3,4,4
"1300","Double check units and amount used.",3,3,2,2
"1301","Should’ve been 0.1 ml",3,3,2,2
"1302","You could put this in the results.",2,3,4,2
"1303","Need to see some numbers in the figure caption; averages, standard dev, stats",3,3,2,2
"1304","You need to connect the dots for your reader. How might temperature change aggression? How does fish metabolism change in colder waters?",4,4,5,5
"1305","Your discussion needs a lot of work. You need to talk a little bit more about what exactly happens when you block the sodium channels, why do you see the result you do? What does this mean going forward? Why is this experiment important to run?",4,4,4,4
"1306","I would just write change in mass",3,3,2,2
"1307","No need to include t-value or degrees of freedom (unless you intend to talk about them).",3,3,2,2
"1308","Are these averaged values? Where are the SD",3,3,2,2
"1309","You report different p-values throughout the paper and have data in your figures that is not reflective of your p-values and is not different that the means and standard deviations that you report.",3,3,3,4
"1310","Stats?",3,3,2,2
"1311","Remember, keep methods out of the introduction",2,2,4,3
"1312","So you think that the soil types influence nutrient availability? That should be spelled out explicitly in your introduction.",4,4,4,5
"1313","Vermiculite",3,3,2,2
"1314","p-value needs to be here to back this claim up",3,3,2,4
"1315","Stats results?",3,3,2,2
"1316","I don’t think the error bars on this graph are correct, as they look pretty similar for both control and treatment groups",3,3,2,4
"1317","What results? The statistic outcome per se it is not the result. You should state ere the direct observation. Statistics is just a tool to corroborate that those difference were caused by the treatment.",3,3,4,4
"1318","What are the standard deviations for those averages?",3,3,2,2
"1319","Your figure does not need a title, what goes in the “title” should be in a figure caption.",3,3,2,2
"1320","All of this belongs earlier in the intro. It reads like you jump from pigments, to what photosynthesis actually is, then back to importance of pigments. You mention “a photosystem” earlier, but we (readers) don’t know what that means until you give us this!",2,2,4,4
"1321","This is confusing.",2,2,2,2
"1322","How do plants phenotypically respond to heterogenous nutrient availability",4,4,5,5
"1323","Stats?",3,3,2,2
"1324","…what is going on with this graph? Where’s the y-axis? Why do the numbers have so many digits? Why are the bars the same for both groups?",3,3,4,4
"1325","Give some indication of the results here. Does/does not affect…",2,2,4,4
"1326","What statistical analysis did you do?",3,3,4,2
"1327","You can potentially condense this sentence into one so that it doesn’t read robotically.",2,2,3,3
"1328","This is going into interpretation, and should only be in your discussion",1,2,4,3
"1329","That hormones regulate",2,3,2,2
"1330","This all needs to have a citaiton",3,3,4,2
"1331","quotes",2,2,3,3
"1332","What is the actual hormone that is in Precor?",3,3,4,2
"1333","Describe the table contents in your results section instead and delete the table. Tables can and should be included in your notebook, but not in a report",3,3,4,4
"1334","Remove (Protocol 3 steps)",3,3,2,2
"1335","Saying that precor would have no effect is the null hypothesis, you need a hypothesis predicting a change",4,3,4,4
"1336","I’d nix this and let the means speak for themselves.",3,3,2,2
"1337","Ecdysterone?",2,3,2,2
"1338","This doesn’t apply to your original hypothesis because size and pupation are not perfectly linked.  So this p value simply says that your data is not random, and something was different between the control and exp but it doesn’t mean anything more than that.",3,4,4,4
"1339","Was this an ANOVA?",3,3,2,2
"1340","Authors transfer from place to place and eventually they die. Their affiliations cannot be cited.",3,3,3,2
"1341","Precor is the brand, methoprene is the IGR",3,3,2,2
"1342","How? Be more precise on the effect of tubocurarine in the Ach nicotinic receptor.",3,3,4,4
"1343","I believe these units should be volts, because Hz is frequency and I don’t think you were changing that",3,3,4,2
"1344","I need to see the averages and standard devs or values or some kind",3,3,2,2
"1345","Why? What does Lidocaine do and what role the thing lidocaine act on normally do?",4,2,5,4
"1346","I still don’t know what groups A and B are at all.",3,3,4,2
"1347","No need to re-state this here",3,3,2,2
"1348","Report results of t-tests as shown in resource guide.",3,3,3,3
"1349","incubation period",2,3,2,2
"1350","Link this importance to enzymes as catalytic proteins and their importance in living organisms maybe.",4,2,4,4
"1351","Where is the statistical analysis?",3,3,4,2
"1352","I need numbers here, as well as a figure reference, and stats! Please let me know if you need help with this!",3,3,2,4
"1353","No “significant” difference",3,3,2,2
"1354","What kind of t test? One or two tailed?",3,3,2,2
"1355","What is this? That is raw data from your lab notebook. Do not include that in the lab report.Figures and tables with summarized data.",3,3,3,3
"1356","effect",2,3,2,2
"1357","All information that is not common knowledge needs to be cited.",3,3,4,3
"1358","You need to expand on your explanation of plant allocation in the introduction, paying particular attention to the effect of soil nutrient availability on root growth.",4,4,4,5
"1359","Make sure to include which statistical test was used.",3,3,2,2
"1360","All figures included in the paper should be referred to in the results (and discussion, as needed)",3,3,3,3
"1361","Check the citation format",3,3,2,2
"1362","Decrease meaning it would be easier for the muscle to twitch? Why do you think that?",4,3,4,4
"1363","More possible reasons/explanations should have been explored/proposed such as intensity of light, range of test species, making sure of the health of chloroplasts, using white light source instead of sunlight to keep uniform condition, to incubate color light treatments….",4,4,4,4
"1364","Statistical grounds? Did you mean that the data did not support the hypothesis?",3,3,4,4
"1365","You need some actual data in your results, and need to reference your figure. I would include averages +/- standard deviations",3,3,4,2
"1366","This should be a colon :, not a comma",3,3,2,2
"1367","You Discussion limits to Physarum model only. Future implications with comparison with other organisms and clear indication of broader scale future implication as concluding remarks needed.",4,4,3,4
"1368","After this, mention which synthetic JH chemical you are using",3,3,2,2
"1369","Your introduction needs some information from primary literature",1,2,3,3
"1370","food",2,3,2,2
"1371","You don’t need to comment on the trends, only say whether the difference was significant and report the statistical values.",3,3,4,4
"1372","Cite as [Champlin: 1999], first author name only",3,3,2,2
"1373","I suggest to remove this segment. “Photosynthesis is a very complex system with many..” can be an appropriate opening statement. Scientific journals are written for peers having similar knowledge background. So, the background knowledge on photosynthesis is not needed.",2,2,4,3
"1374","You did a much better job of explaining concepts but you need to use more primary literature to back your claims",4,4,3,3
"1375","Word choice",2,2,2,2
"1376","Can you specify the analyzed variable in that graph and the treatments instead of saying between the two graphs?",3,3,4,4
"1377","This will be a great discussion once you remove the redundancies",2,2,2,4
"1378","Missing the t stat and the degrees of freedom",3,3,2,2
"1379","Make sure you include the specific means and standard deviations",3,3,2,2
"1380","Stats?",3,3,2,2
"1381","Try to include the number of pulses, the width, and the frequency.",3,3,2,2
"1382","Its not that the pulse doesn’t occur. The bump of ecdysone still happens, it just doesn’t meet the specific criteria (i.e. JH being low at the same time as the pulse) to move on into pupation. Thus the caterpillar isn’t ready hormonally for the commitment pulse and basically misses its chance to pupate.",3,1,4,5
"1383","This should only be in your methods section. You can write that the weights will be measured but that’s it",3,3,4,4
"1384","Cite your sources correctly.",3,3,3,3
"1385","What does this mean?",2,3,7,2
"1386","Are you sure? You stimulated the sciatic nerve and this stimulation will transmitted through the synapse between the motor neuron and the muscle.",3,3,4,4
"1387","Remember to begin each caption with figure number and title (“Figure 1. Overall Mass Change in Manduca sexta caterpillars. Series 1 (yellow) represents…”)",3,3,2,4
"1388","What is this number? Did you mean 8.350 ± 0.435 g?",3,3,2,2
"1389","Why no localized growth? If phosphorous is not limiting, shouldn’t plants prioritize other nutrients?",4,4,5,5
"1390","How much of this did you inject?",3,3,2,2
"1391","Your caption should be made up of separate sentences",3,3,2,2
"1392","Try looking in the resource guide under the citations section for how to cite the lab manual.",3,3,3,3
"1393","I would make this two sentences so it’s a little clearer that the last part is your hypothesis",2,2,4,3
"1394","These numbers should also have units",3,3,2,2
"1395","Your figure caption should relay what you wanted me to get out of looking at this figure.",3,3,3,3
"1396","Indicate the centrifuge specifications since it was different than the first one",3,3,4,4
"1397","Standard deviations!You always need to report the mean with the standard deviation.",3,3,2,2
"1398","Which one?",3,3,7,2
"1399","No “significant” difference",3,3,2,2
"1400","Your citations could actually go at the end of the sentences and add ”;” for multiple sources",3,2,2,3
"1401","Delete gridlinesSpecify what “treatment” “group 1” and “group 2” are",3,3,2,2
"1402","Colon between author and year",3,3,2,2
"1403","You need statistics to say this",3,3,4,2
"1404","It is better to discuss the results in relation to your hypothesis before the errors or mistakes encountered.",2,4,4,3
"1405","infromal",2,3,3,2
"1406","All this details about the methods are unnecessary in the Abstract. Just summarize what you did and just mention the most important part of the methods in  this section.",2,2,4,4
"1407","You don’t need to specifically mention that it was your alternative hypothesis; that’s only a statistical technique",2,3,4,4
"1408","This tells me what you did wrong, but you need an interpretation of what the results you GOT mean first, before you tell the reader everything that you could have screwed up.",3,4,3,3
"1409","Past tense",2,2,3,3
"1410","This hypothesis is unclear. What are you measuring and how do you expect it to change?",4,4,3,4
"1411","Just at first glance, this section is too long. It should only be a few sentences long. All of this doesn’t have to be in there because you explained it well enough already!",2,2,3,3
"1412","These should also have error bars as they are averages",3,3,4,2
"1413","What does this mean?",2,3,7,2
"1414","Report your df and t-stat as well",3,3,2,2
"1415","[first author last name: year]",3,3,2,2
"1416","More needs to be said here overall. As a reader, I was left asking myself “why” a lot. So add more detail, do more background info if you need to, and just be more thorough in your explanations.",4,4,4,4
"1417","Can you clarify this sentence a bit? I am not sure I understand what you are trying to say.",2,2,2,4
"1418","This is OK for the figure legend, but not for the results section.",3,3,3,2
"1419","You had the concentration right the first time with 1 mM, I just wanted you to state the 1ml",3,3,2,2
"1420","Do not copy exactly the same sentence for the results displayed in figure 2. You can explain these observations using other words. Avoid repetitions of words and phrases.",2,2,2,3
"1421","You don’t need to mention all these, that information is included in the figure.",3,3,4,4
"1422","Metamorphical?",2,3,2,2
"1423","I would state your p-value in parentheses so this non-significance makes sense given your results",3,3,2,2
"1424","I’m going to torture you into looking up whether or not Physarum is capable of making glycine, because it was definitely exposed to it—your stock cultures were grown on plates containing agar, so this isn’t your answer.",4,4,4,4
"1425","You need to explain the error bars and include statistics",3,3,4,4
"1426","cite all pertinent literature using the [Last name of first author: year] citation format.",3,3,3,3
"1427","The null hypothesis is embodied in the statistical test you used; you do not need to mention it specifically",3,3,2,4
"1428","Include highlights from discussion as well.",2,2,4,4
"1429","Ambiguous sentence. For your lab report you should be concise and straight forward. Just include the relevant information, do not explain the decisions of your team members.",2,2,3,3
"1430","State means and standard deviationsState trends in the dataReport results of t-tests properlyReference all of your figures",3,3,2,2
"1431","percisiond (word choice)",2,2,2,2
"1432","Clarify that the leg was suspended from a force transducer (this is how you measured the muscle twitch)",3,3,4,4
"1433","Try to condense this a little",2,2,3,3
"1434","Also mention about the Tukey-Kramer test.",3,3,2,2
"1435","Error bars improperly formatted",3,3,2,2
"1436","I would say likely rather than confidently, that’s a bit too strong of a word",2,2,2,2
"1437","Don’t forget to include a sentence or two describing your methods in the abstract too. It was kind of implied, but be more upfront about what your methods were",2,2,4,4
"1438","Redundant",2,2,2,2
"1439","Your error bars are not in the right places in that they don’t sit on the bar in the right spot.  Make sure you use custom error bars for your graph.",3,3,4,4
"1440","Reference the figure",3,3,2,2
"1441","Are you sure? What wavelength?",3,3,2,2
"1442","remove raw data!",3,3,3,2
"1443","Plagiarized",1,3,3,2
"1444","How large? You can quantify it. Be specific.",3,3,4,2
"1445","Can you tie this into the rest of the introduction? The previous sentence is a good segway into your methods, and this doesn’t really connect to anything where it is. I would move it to either before or after your hypothesis and explain how it’s relevant.",2,2,4,5
"1446","Fix the standard deviations the way I told you in class – you need a standard deviation for each day using your 4 raw data values for the control and treatment groups",3,3,2,4
"1447","Citations?",3,3,3,2
"1448","Threshold of what? Be specific!",3,3,2,2
"1449","Report means as mean +/- Sd",3,3,2,2
"1450","Good, just mention how many frogs were used in each average",3,3,2,4
"1451","This belongs in your figure caption, not your results paragraph.",3,3,4,4
"1452","As I indicated in Submission review, your Agar amount remains constant throughout control and treatment plates.",3,3,4,4
"1453","Make sure the first time you mention something you write the full name out and in parenthesis state the abbreviation, that way the reader knows what you’re talking about",2,2,2,4
"1454","The goal is not to prove the effectiveness, but to compare effect on control and treatment.",3,3,2,4
"1455","And thus",2,3,2,2
"1456","You need to mention that you are using frog legs first",3,3,4,4
"1457","Period goes after the citation. “…for the cell [Lambers, 2008].”",3,3,2,2
"1458","revise or break into smaller sentences",2,2,3,3
"1459","procedural error",3,3,4,2
"1460","Your results are not significant. Not sure if this is just a typo. You can say your results are not statistically significant",3,3,2,2
"1461","Better! Just note for next time that this is typically something that goes in an intro",2,2,4,4
"1462","This can be left out as data keeping methods isn’t crucial to repeating the experiment and will not necessarily affect the experiment’s outcome.",4,4,4,4
"1463","What is this animal, why use it?",3,3,4,2
"1464","Abstract needs major improvement. See link on last page.",2,2,7,3
"1465","So, if it is not necessary, then why would you want to do it. I think that is not necessary in your discussion. In this section just focus on interpreting the results. Do not suggest things that are not relevant or are not explanation of the obtained results.",3,2,4,4
"1466","What is the dilution?",3,3,2,2
"1467","Also include tstat and df",3,3,2,2
"1468","Did you have a control group?",3,3,4,2
"1469","I wouldn’t report average migration rate. Reporting your t-test results in a correct format would suffice.",3,3,2,2
"1470","Do not use an entire sentence just for the statistical analysisRemember example in lab last week",3,3,2,2
"1471","You do not need quotations, just paraphrase the passage. Also for the intext citation you need (author, Year published)",3,3,2,3
"1472","Did you mean pupa and adult phases?",2,2,2,2
"1473","Just say use! Simple language is always better.",2,2,2,3
"1474","graph",3,3,2,2
"1475","No main title within the body of the figure, error bars are not formatted correctly.",3,3,4,4
"1476","What statistical test did you run?",3,3,4,2
"1477","Hypothesis comes before methods",2,2,4,4
"1478","What amounts in mL?",3,3,2,2
"1479","What we labeled the tubes is not important",3,3,2,2
"1480","After revising your data analysis, use your resource guide to write a good discussion.",2,3,3,3
"1481","Repeating information. Both sentences are saying the same information.",2,2,2,2
"1482","You need to introduce your species before you get into this, otherwise it doesn’t make much sense",2,4,4,4
"1483","Good, concise caption. Did you make this figure in Google Sheets? If so, you should know that the error bars in Sheets are not correct (Google can’t handle the necessary stats). If you want help on how to do them in Excel, please let me know. (The way I can tell that these error bars are not right is because they are simply scaled with the height of the block instead of varying.)",3,3,4,4
"1484","You’ve used the word readily three times in this section! Can you think of synonyms?",2,2,2,2
"1485","Use standard error, not standard deviation. Standard error is SD divided by the square root of sample size",3,3,4,4
"1486","Standard dev doesn’t mean anything without the average as well",3,3,2,2
"1487","What groups were compared?",3,3,4,2
"1488","You never support the null, only fail to reject it. Just state your hypothesis was not supported",3,2,4,4
"1489","This introduction needs citations! Without them, this lab report will fail. Since your reports are otherwise very good, please see me if you’re confused about the citation requirement because I don’t want to repeatedly give you a bad grade on an otherwise decent report for this one thing.",1,1,3,3
"1490","What background info led you to think of this experimental question?",4,4,3,3
"1491","Amps (Amperes) is a unit of current.  In the Ohm’s law V = I * R, Amperes is the I, Ohms is the R and Volts is the V.  This confusion came from the Amplitude box on the Lab scribe software, which means what is the amplitude (or height of the wave form) that the function generator is making.  This means how big is the amplitude of the voltage you are applying to the frog leg.",3,3,4,4
"1492","What chemical are you using?",3,3,2,2
"1493","What kind of t-test",3,3,2,2
"1494","What does ecdysone normally do in Manduca caterpillars?",3,2,4,4
"1495","I would suggest numbering steps or (preferably), turning this into a paragraph, not a bulleted list.",3,3,3,3
"1496","Can you specify which is your experimental condition? You could say that there was a larger threshold for contraction after the injection of lidocaine",3,3,4,4
"1497","This is not right. The muscle was connected to a force transducer and that measured the contraction.",3,3,2,4
"1498","These are raw data and should not be included",3,3,3,3
"1499","How does this relate to your results? You need to connect the dots for your readers",4,4,3,3
"1500","Give more detail about these other experiments",3,2,4,3
"1501","holometabolous",3,3,2,2
"1502","This is not necessarily true",2,3,3,4
"1503","Hypothesis comes before methods",2,2,4,4
"1504","Watch your significant digits!  Rounding to a reasonable value is acceptable.",3,3,2,2
"1505","Supporting info for your prediction should be in the intro, while supporting info for your outcomes/results goes in the discussion. If these are the same thing, just think about how you frame this evidence.",2,2,4,4
"1506","Do you see evidence for this in the size data?",3,3,5,3
"1507","Briefly describe your experiment.",2,2,3,4
"1508","Where are the table legends? That is necessaryYou are missing the SD for those averages.",3,3,3,2
"1509","Can you be more specific? Include the studied physiological process in the title.",2,2,4,4
"1510","Do not quote other papers, explain their results with your own words.",2,2,3,3
"1511","So the entire circumference of the plate?",3,3,4,2
"1512","This doesn’t accurately represent what you did, this reads as though you only did one trial for each treatment. Describe why you chose the particular types of fake fish that you did.",3,3,4,4
"1513","For which condition? Shouldn’t you have more p-values?",3,3,4,2
"1514","You need to label your axes. Include description of error bars and stats in your caption.",3,3,4,2
"1515","you can state this, but then also state that the decrease was not significant given your p-value (and then state the p-value)",3,3,4,4
"1516","This is still methods, doesn’t need to be in a figure caption",3,3,2,3
"1517","What statistical test did you use?",3,3,4,2
"1518","Good point. The frequencies of each behavior might be worth graphing if you think it’s important for the discussion.",3,4,5,4
"1519","Include somewhere in here which part of the photosynthetic process is affected by temperature and why it makes sense that changing temperature changes photosynthetic rate.",4,4,4,4
